customer_id,frequency,recency,T,monetary_value,pred_purchases_12m,p_alive,exp_avg_value,clv_12m
1,2,30.43,38.86,22.35,1.655,0.741,23.78,51.898
2,1,1.71,38.86,11.77,0.236,0.189,16.045,5.914
3,0,0.0,38.86,0.0,0.25,1.0,35.079,13.122
4,0,0.0,38.86,0.0,0.25,1.0,35.079,13.122
5,0,0.0,38.86,0.0,0.25,1.0,35.079,13.122
6,7,29.43,38.86,73.74,5.052,0.712,72.866,444.919
7,1,5.0,38.86,11.77,0.356,0.285,16.045,8.906
8,0,0.0,38.86,0.0,0.25,1.0,35.079,13.122
9,2,35.71,38.86,25.55,1.779,0.797,26.712,61.79
10,0,0.0,38.86,0.0,0.25,1.0,35.079,13.122
11,5,24.43,38.86,29.44,2.885,0.56,29.792,106.766
12,0,0.0,38.86,0.0,0.25,1.0,35.079,13.122
13,0,0.0,38.86,0.0,0.25,1.0,35.079,13.122
14,0,0.0,38.86,0.0,0.25,1.0,35.079,13.122
15,0,0.0,38.86,0.0,0.25,1.0,35.079,13.122
16,0,0.0,38.86,0.0,0.25,1.0,35.079,13.122
17,10,34.14,38.86,24.24,8.639,0.864,24.513,260.871
18,1,4.86,38.86,9.99,0.351,0.281,14.541,8.219
19,3,28.29,38.71,25.08,2.352,0.731,25.904,77.705
20,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
21,2,14.57,38.71,32.3,0.952,0.425,32.897,39.767
22,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
23,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
24,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
25,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
26,1,1.57,38.71,227.14,0.233,0.185,198.121,51.314
27,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
28,1,29.43,38.71,80.46,0.831,0.663,74.116,72.613
29,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
30,1,5.86,38.71,40.47,0.387,0.308,40.309,19.752
31,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
32,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
33,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
34,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
35,1,27.14,38.71,31.14,0.806,0.643,32.421,34.331
36,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
37,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
38,1,2.14,38.71,13.97,0.255,0.203,17.905,6.876
39,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
40,0,0.0,38.71,0.0,0.251,1.0,35.079,13.155
41,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
42,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
43,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
44,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
45,1,24.43,38.57,14.96,0.777,0.618,18.742,21.654
46,12,34.43,38.57,29.54,10.534,0.877,29.688,381.989
47,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
48,0,0.0,38.57,0.0,0.251,1.0,35.079,13.186
49,1,1.57,38.57,14.37,0.234,0.186,18.243,6.396
