account_id,invoice_date,net_amount
ACC0,2024-03-21,499
ACC0,2024-04-21,499
ACC0,2024-05-21,499
ACC0,2024-06-21,499
ACC0,2024-07-21,499
ACC0,2024-08-21,499
ACC0,2024-09-21,499
ACC0,2024-10-21,499
ACC0,2024-11-21,499
ACC0,2024-12-21,499
ACC0,2025-01-21,499
ACC0,2025-02-21,499
ACC0,2025-03-21,499
ACC0,2025-04-21,499
ACC0,2025-05-21,499
ACC0,2025-06-21,499
ACC0,2025-07-21,499
ACC0,2025-08-21,499
ACC0,2025-09-21,499
ACC1,2024-04-01,99
ACC1,2024-05-01,99
ACC1,2024-06-01,99
ACC1,2024-07-01,99
ACC1,2024-08-01,99
ACC1,2024-09-01,99
ACC1,2024-10-01,99
ACC1,2024-11-01,99
ACC1,2024-12-01,99
ACC1,2025-01-01,99
ACC1,2025-02-01,99
ACC1,2025-03-01,99
ACC1,2025-04-01,99
ACC1,2025-05-01,99
ACC1,2025-06-01,99
ACC1,2025-07-01,99
ACC1,2025-08-01,99
ACC2,2024-02-20,499
ACC2,2024-03-20,499
ACC2,2024-04-20,499
ACC2,2024-05-20,499
ACC2,2024-06-20,499
ACC2,2024-07-20,499
ACC2,2024-08-20,499
ACC2,2024-09-20,499
ACC2,2024-10-20,499
ACC2,2024-11-20,499
ACC2,2024-12-20,499
ACC2,2025-01-20,499
ACC2,2025-02-20,499
ACC2,2025-03-20,499
ACC2,2025-04-20,499
ACC2,2025-05-20,499
ACC2,2025-06-20,499
ACC2,2025-07-20,499
ACC3,2024-04-13,199
ACC3,2024-05-13,199
ACC3,2024-06-13,199
ACC3,2024-07-13,199
ACC3,2024-08-13,199
ACC3,2024-09-13,199
ACC3,2024-10-13,199
ACC3,2024-11-13,199
ACC3,2024-12-13,199
ACC3,2025-01-13,199
ACC3,2025-02-13,199
ACC3,2025-03-13,199
ACC3,2025-04-13,199
ACC3,2025-05-13,199
ACC4,2024-03-13,499
ACC4,2024-04-13,499
ACC4,2024-05-13,499
ACC4,2024-06-13,499
ACC4,2024-07-13,499
ACC4,2024-08-13,499
ACC4,2024-09-13,499
ACC4,2024-10-13,499
ACC4,2024-11-13,499
ACC4,2024-12-13,499
ACC4,2025-01-13,499
ACC4,2025-02-13,499
ACC4,2025-03-13,499
ACC4,2025-04-13,499
ACC5,2024-01-20,199
ACC5,2024-02-20,199
ACC5,2024-03-20,199
ACC5,2024-04-20,199
ACC5,2024-05-20,199
ACC5,2024-06-20,199
ACC5,2024-07-20,199
ACC5,2024-08-20,199
ACC5,2024-09-20,199
ACC5,2024-10-20,199
ACC5,2024-11-20,199
ACC5,2024-12-20,199
ACC5,2025-01-20,199
ACC6,2024-01-16,499
ACC6,2024-02-16,499
ACC6,2024-03-16,499
ACC6,2024-04-16,499
ACC6,2024-05-16,499
ACC6,2024-06-16,499
ACC6,2024-07-16,499
ACC6,2024-08-16,499
ACC6,2024-09-16,499
ACC6,2024-10-16,499
ACC6,2024-11-16,499
ACC6,2024-12-16,499
ACC6,2025-01-16,499
ACC6,2025-02-16,499
ACC7,2024-03-30,99
ACC7,2024-04-30,99
ACC7,2024-05-30,99
ACC7,2024-06-30,99
ACC7,2024-07-30,99
ACC7,2024-08-30,99
ACC7,2024-09-30,99
ACC8,2024-03-04,499
ACC8,2024-04-04,499
ACC8,2024-05-04,499
ACC8,2024-06-04,499
ACC8,2024-07-04,499
ACC8,2024-08-04,499
ACC8,2024-09-04,499
ACC8,2024-10-04,499
ACC8,2024-11-04,499
ACC8,2024-12-04,499
ACC8,2025-01-04,499
ACC8,2025-02-04,499
ACC9,2024-02-10,199
ACC9,2024-03-10,199
ACC9,2024-04-10,199
ACC9,2024-05-10,199
ACC9,2024-06-10,199
ACC9,2024-07-10,199
ACC9,2024-08-10,199
ACC9,2024-09-10,199
ACC10,2024-04-10,99
ACC10,2024-05-10,99
ACC10,2024-06-10,99
ACC10,2024-07-10,99
ACC10,2024-08-10,99
ACC10,2024-09-10,99
ACC10,2024-10-10,99
ACC10,2024-11-10,99
ACC10,2024-12-10,99
ACC10,2025-01-10,99
ACC10,2025-02-10,99
ACC10,2025-03-10,99
ACC10,2025-04-10,99
ACC10,2025-05-10,99
ACC11,2024-02-11,99
ACC11,2024-03-11,99
ACC11,2024-04-11,99
ACC11,2024-05-11,99
ACC11,2024-06-11,99
ACC11,2024-07-11,99
ACC11,2024-08-11,99
ACC11,2024-09-11,99
ACC11,2024-10-11,99
ACC11,2024-11-11,99
ACC11,2024-12-11,99
ACC11,2025-01-11,99
ACC11,2025-02-11,99
ACC11,2025-03-11,99
ACC11,2025-04-11,99
ACC11,2025-05-11,99
ACC11,2025-06-11,99
ACC12,2024-02-17,199
ACC12,2024-03-17,199
ACC12,2024-04-17,199
ACC12,2024-05-17,199
ACC12,2024-06-17,199
ACC12,2024-07-17,199
ACC12,2024-08-17,199
ACC12,2024-09-17,199
ACC12,2024-10-17,199
ACC12,2024-11-17,199
ACC12,2024-12-17,199
ACC13,2024-01-17,499
ACC13,2024-02-17,499
ACC13,2024-03-17,499
ACC13,2024-04-17,499
ACC13,2024-05-17,499
ACC13,2024-06-17,499
ACC13,2024-07-17,499
